Pays,Annee,Esperance_de_vie,Taux_mortalite_adulte,Taux_mortalite_infantile,Alcool,Hepatite_b,Rougeole,IMC,Deces_chez_les_moins_de_5_ans,Poliomyelite,Diphtherie,VIH_SIDA,Malnutrition_5-9_ans
91,2002,67.8,146,7,0.55,5,4353,43.1,9,8,76,0.1,3.1
91,2001,67.5,151,8,0.51,,574,42.6,10,77,77,0.1,3.1
91,2000,66.6,16,9,0.65,,210,42.1,11,75,76,0.1,3.1
176,2015,76.1,147,0,,95,0,64.5,0,95,95,0.1,2.5
176,2014,75.4,16,0,9.45,96,0,63.8,0,96,96,0.1,2.5
176,2013,74.8,172,0,9.42,97,0,63.2,0,97,97,0.1,2.5
176,2012,74.9,167,0,9.5,96,0,62.6,0,99,98,0.2,2.5
176,2011,75,162,0,9.34,95,0,62,0,97,98,0.1,2.5
176,2010,75,161,0,9.19,98,0,61.3,0,97,99,0.2,2.5
176,2009,74.6,168,0,9.29,95,0,6.7,0,97,96,0.1,2.5
176,2008,74.5,167,0,10.15,9,0,6.1,0,93,93,0.1,2.5
176,2007,74.4,167,0,10.75,93,0,59.4,0,95,95,0.1,2.5
176,2006,74.2,171,0,11.07,96,0,58.7,0,94,95,0.1,2.5
176,2005,74.1,172,0,10.49,93,0,58.1,0,93,93,0.1,2.5
176,2004,73.8,174,0,10.1,93,0,57.4,0,92,93,0.1,2.5
176,2003,73.2,189,0,10.68,88,0,56.7,0,93,92,0.1,2.5
176,2002,73.1,19,0,10.85,89,0,56,0,93,94,0.1,2.6
176,2001,72.9,189,0,11.64,21,0,55.2,0,98,99,0.2,2.6
176,2000,72.6,192,0,12.15,,0,54.4,0,91,99,0.1,2.6
154,2015,76.9,69,0,,98,0,63.6,0,98,98,0.1,6.1
154,2014,76.8,7,0,1.57,98,46,62.9,0,98,98,0.1,6
154,2013,76.7,7,0,1.65,99,0,62.2,0,99,99,0.1,6
154,2012,76.5,71,0,1.7,99,0,61.5,0,99,99,0.1,6
154,2011,76.1,76,0,1.66,99,0,6.8,0,99,99,0.1,6
154,2010,76.1,73,0,1.93,99,0,6.1,0,99,99,0.1,5.9
154,2009,76,74,0,1.95,98,3,59.3,0,97,98,0.1,5.9
154,2008,75.8,76,0,2,97,2,58.5,0,97,97,0.1,5.9
154,2007,75.6,77,0,2,97,7,57.6,0,97,97,0.1,5.9
154,2006,75.5,79,0,2.1,98,3,56.8,0,98,98,0.1,5.9
154,2005,75.3,81,0,02.05,98,4,56.1,0,98,98,0.1,5.9
154,2004,75.2,83,0,2.16,98,11,55.6,0,98,98,0.1,5.9
154,2003,75,85,0,2.16,98,12,55.2,0,97,97,0.1,5.9
154,2002,74.9,87,0,1.99,98,8,55,0,98,98,0.1,5.9
154,2001,74.7,9,0,1.95,99,5,54.8,0,99,99,0.1,6
154,2000,74.5,92,0,2.15,97,6,54.5,0,97,97,0.1,6
8,2015,71.8,129,92,,97,240,18.3,113,97,97,0.1,18.3
8,2014,71.4,132,98,0.01,97,289,17.7,121,97,97,0.1,18.6
8,2013,71,135,104,0.01,96,237,17,130,96,96,0.1,18.8
8,2012,77,137,111,0.01,94,1986,16.4,139,94,94,0.1,19
8,2011,73,14,118,0.01,96,5625,15.8,150,96,96,0.1,19.2
8,2010,69.9,142,126,0.01,94,788,15.2,161,94,94,0.1,19.4
8,2009,69.5,144,135,0.01,97,718,14.6,173,97,97,0.1,19.7
8,2008,69.1,147,144,0.01,96,2660,14,186,96,96,0.1,19.9
8,2007,68.6,151,154,0.01,95,2924,13.5,201,96,94,0.1,2.1
8,2006,68.2,152,164,0.01,86,6192,13,215,95,94,0.1,2.3
8,2005,67.8,155,174,0.01,45,25934,12.5,231,94,93,0.1,2.5
8,2004,67.3,158,185,0.01,11,9743,12,247,88,99,0.1,2.7
8,2003,66.8,161,196,0.01,5,4067,11.6,264,9,87,0.1,2.9
8,2002,66.3,164,207,0.01,,3484,11.2,280,83,83,0.1,21.1
8,2001,65.8,168,219,0.01,,4414,1.8,298,85,85,0.1,21.3
8,2000,65.3,173,231,0.01,,5098,1.4,316,83,82,0.1,21.5
186,2015,75.5,98,0,,97,0,54.5,0,97,97,0.1,3.7
186,2014,75.4,1,0,8.82,94,0,53.7,0,95,94,0.1,3.7
186,2013,75.2,11,0,8.74,91,0,53,0,91,91,0.1,3.8
186,2012,75.1,12,0,8.61,87,0,52.2,0,88,87,0.1,3.8
186,2011,74.9,14,0,8.51,91,0,51.4,0,91,91,0.1,3.8
186,2010,74.7,16,0,8.41,86,0,5.7,0,9,86,0.1,3.8
186,2009,74.6,19,0,8.46,93,0,49.9,0,93,93,0.1,3.8
186,2008,74.4,111,0,8.95,85,0,49.2,0,85,85,0.1,3.9
186,2007,74.2,113,0,8.47,93,0,48.4,0,93,93,0.1,3.9
186,2006,74.1,115,0,8.39,84,0,47.7,0,85,84,0.1,3.9
186,2005,73.9,117,0,08.01,92,0,46.9,0,91,92,0.1,4
186,2004,73.8,119,0,7.68,93,0,46.2,0,93,93,0.2,4
186,2003,73.7,121,0,7.65,91,0,45.4,0,9,89,0.4,4.1
186,2002,73.5,123,0,7.59,66,0,44.6,0,86,87,0.8,4.1
186,2001,73.4,125,0,7.38,18,0,43.8,0,93,84,0.7,4.2
186,2000,73.3,127,0,7.43,,0,43,0,86,93,0.9,4.2
96,2015,72.3,196,0,,99,2,62.3,0,99,99,0.1,2
96,2014,72,199,0,13.94,97,64,61.7,0,97,97,0.1,2
96,2013,71.7,23,0,14.66,98,16,61.1,1,98,98,0.1,2
96,2012,71.9,194,0,16.35,97,10,6.5,1,98,98,0.1,2.1
96,2011,72,232,0,17.31,98,50,59.9,1,98,98,0.1,2.1
96,2010,73,222,0,14.44,96,1,59.3,1,99,98,0.1,2.2
96,2009,70,226,0,14.09,98,0,58.7,1,98,96,0.1,2.2
96,2008,70,224,1,14.67,98,0,58.2,1,98,97,0.1,2.3
96,2007,69.8,226,1,14.22,91,1,57.7,1,9,95,0.1,2.3
96,2006,68.9,243,1,12.6,98,149,57.2,1,97,99,0.1,2.4
96,2005,68.1,252,1,11.01,99,1,56.7,1,98,99,0.1,2.5
96,2004,68.2,247,1,12.05,99,2,56.2,1,99,99,0.1,2.5
96,2003,67.7,253,1,11.17,56,21,55.8,1,53,5,0.1,2.6
96,2002,67.2,262,1,12.23,99,14,55.3,1,99,99,0.1,2.7
96,2001,67.7,254,1,10.74,93,45,54.9,1,99,99,0.1,2.7
96,2000,68,247,1,12.98,7,21,54.4,1,99,99,0.1,2.8
81,2015,81.1,74,0,,98,47,63.7,1,99,99,0.1,1
81,2014,89,76,0,12.6,98,70,63.4,1,99,99,0.1,1
81,2013,87,77,0,11.77,98,39,63,1,99,99,0.1,0.9
81,2012,83,78,0,10.08,98,109,62.6,1,99,99,0.1,0.9
81,2011,83,8,0,10.11,97,576,62.3,1,98,98,0.1,0.9
81,2010,80,81,0,10.22,97,40,61.9,1,98,98,0.1,0.9
81,2009,79.8,85,0,10.05,97,33,61.6,1,98,98,0.1,0.9
81,2008,79.5,87,0,10.47,98,98,61.3,1,99,99,0.1,0.8
81,2007,79.5,86,0,10.25,94,64,6.9,1,99,98,0.1,0.8
81,2006,79.4,85,0,10.98,94,15,6.6,1,99,98,0.1,0.8
81,2005,78.9,89,0,12.27,77,26,6.2,1,97,97,0.1,0.8
81,2004,78.8,91,1,12.05,64,61,59.8,1,96,95,0.1,0.8
81,2003,78.3,95,0,11.28,64,44,59.4,1,96,95,0.1,0.8
81,2002,78,99,1,11.29,6,0,59,1,96,95,0.1,0.8
81,2001,78,1,1,11.01,6,83,58.5,1,96,95,0.1,0.8
81,2000,77.6,11,1,11.21,6,0,58.1,1,96,95,0.1,0.8
177,2015,71,175,0,,94,0,5.9,0,94,94,0.2,3.4
177,2014,70,177,0,6.58,95,0,5.1,0,95,95,0.2,3.4
177,2013,69.8,18,0,6.56,95,0,49.3,0,95,95,0.2,3.4
177,2012,69.4,189,0,6.66,98,0,48.5,0,98,98,0.1,3.4
177,2011,69.4,188,0,6.64,95,0,47.8,0,95,95,0.5,3.4
177,2010,69.5,186,0,6.76,96,0,47,0,96,96,0.2,3.4
177,2009,69.5,184,0,6.85,97,0,46.3,0,98,97,0.3,3.4
177,2008,69.6,181,0,7.22,94,0,45.7,0,94,94,0.1,3.4
177,2007,69.6,181,0,7.24,96,0,45,0,97,96,0.6,3.5
177,2006,69.4,184,0,6.48,98,0,44.4,0,98,98,0.6,3.5
177,2005,69,191,0,6.25,96,0,43.8,0,96,96,0.8,3.5
177,2004,68.7,197,0,6.2,97,0,43.2,0,97,97,0.8,3.5
177,2003,68.4,21,0,5.67,96,0,42.6,0,95,96,1.5,3.6
177,2002,68.5,199,0,4.99,97,0,42,0,93,89,0.1,3.6
177,2001,68.2,21,0,4.9,96,0,41.4,0,96,96,0.4,3.7
177,2000,68.3,196,0,4.79,76,0,4.8,0,91,91,0.3,3.7
77,2015,60,249,25,,82,55,25.7,39,78,82,1,6.8
77,2014,59.7,252,25,0.01,78,786,25.2,39,74,78,1.1,6.9
77,2013,59.5,251,25,0.01,77,637,24.6,39,73,77,1.2,7.1
77,2012,59.3,251,25,0.01,8,288,24.1,39,8,8,1.3,7.3
77,2011,59.1,251,25,1.4,75,426,23.5,39,77,75,1.4,7.5
77,2010,58.7,254,25,1.33,76,392,23,39,77,76,1.4,7.6
77,2009,58.4,259,25,1.16,79,1461,22.5,39,8,79,1.6,7.8
77,2008,57.6,278,25,1.28,75,928,22,39,77,75,1.8,8
77,2007,57.1,283,25,1.12,82,341,21.5,39,82,82,2,8.2
77,2006,56.8,284,25,1.19,74,176,21,39,76,74,2,8.4
77,2005,56.5,285,25,1.13,7,210,2.5,39,73,7,2.1,8.6
77,2004,56.1,285,25,1.15,75,262,2.1,39,74,72,2.1,8.8
77,2003,55.8,285,25,1.35,73,217,19.7,40,75,73,2.1,9
77,2002,55.6,283,25,1.23,15,1588,19.2,40,76,75,2.1,9.2
77,2001,55.5,281,25,1.29,,5859,18.8,40,77,76,2.1,9.4
77,2000,55.4,279,25,1.34,,4244,18.4,40,78,78,2,9.6
165,2015,69.8,211,0,,99,11,24.5,0,98,99,0.5,16
165,2014,69.4,216,0,0.01,99,0,23.6,1,98,99,0.5,16.2
165,2013,69.1,219,0,0.01,97,0,22.7,1,97,97,0.6,16.5
165,2012,68.7,223,0,0.01,97,1,21.9,1,97,97,0.6,16.7
165,2011,68.3,225,0,0.23,95,10,21.1,1,95,95,0.5,17
165,2010,67.9,228,1,0.28,91,21,2.3,1,92,91,0.5,17.3
165,2009,67.4,232,1,0.17,93,6,19.5,1,93,93,0.4,17.5
165,2008,67,234,1,0.21,96,7,18.8,1,96,96,0.4,17.8
165,2007,66.5,238,1,0.16,95,11,18,1,93,95,0.3,18.1
165,2006,65.8,245,1,0.29,95,2,17.4,1,96,95,0.3,18.3
165,2005,65,254,1,0.73,95,11,16.7,1,95,95,0.3,18.6
165,2004,64.2,263,1,0.96,89,3,16.1,1,9,89,0.3,18.8
165,2003,63.3,273,1,0.52,95,0,15.5,1,96,95,0.2,19.1
165,2002,62.5,282,1,0.29,83,27,14.9,1,89,86,0.1,19.4
165,2001,61.7,29,1,0.14,89,756,14.4,1,88,88,0.1,19.6
165,2000,62,312,1,0.17,98,418,13.9,1,98,92,0.1,19.9
80,2015,77,186,8,,99,0,52.6,10,99,99,0.1,1.1
80,2014,74,189,8,3.62,98,0,51.9,10,99,98,0.1,1.1
80,2013,71,192,8,3.78,94,0,51.2,10,95,94,0.1,1.1
80,2012,69.8,194,8,3.89,93,0,5.6,11,93,93,0.1,1.1
80,2011,69.3,198,9,3.93,95,0,49.9,11,95,95,0.2,1.1
80,2010,68.7,22,9,3.95,91,0,49.3,12,9,91,0.2,1.1
80,2009,68,27,10,3.87,93,0,48.6,12,92,93,0.2,1.1
80,2008,67.4,211,10,3.77,88,0,48,13,87,88,0.2,1.1
80,2007,66.8,216,11,3.47,84,0,47.3,14,85,84,0.2,1.2
80,2006,66.2,219,11,3.23,83,0,46.7,15,82,83,0.2,1.2
80,2005,65.7,222,12,2.86,85,0,46,16,84,85,0.2,1.2
80,2004,65.1,226,12,2.66,84,0,45.4,16,84,84,0.2,1.2
80,2003,64.5,23,13,2.37,8,0,44.7,17,82,88,0.2,1.3
80,2002,63.9,234,14,2.26,77,0,44,18,76,77,0.1,1.3
80,2001,63.3,238,14,2.2,77,0,43.3,19,71,71,0.1,1.4
80,2000,62.6,243,15,2.32,77,122,42.6,20,74,75,0.1,1.4
137,2015,77.4,88,0,,82,1677,55.8,0,74,82,0.1,2.3
137,2014,77.2,89,0,04.03,89,3000,55.3,0,86,86,0.1,2.4
137,2013,77,9,0,4.12,91,0,54.7,0,87,89,0.1,2.4
137,2012,76.8,92,0,4.61,92,22,54.2,0,87,92,0.1,2.5
137,2011,76.9,92,0,4.64,88,10,53.7,0,89,88,0.1,2.5
137,2010,76.4,94,0,4.54,89,45,53.1,0,9,89,0.1,2.6
137,2009,76.1,97,0,4.75,9,22,52.6,0,9,9,0.1,2.7
137,2008,76,98,0,5.13,88,8,52.1,0,92,91,0.1,2.7
137,2007,75.4,16,0,5.16,94,166,51.5,0,95,95,0.1,2.8
137,2006,75.7,1,0,4.82,9,17,51,0,91,87,0.1,2.8
137,2005,75,12,0,4.56,93,23,5.5,0,95,93,0.1,2.9
137,2004,75.5,99,0,4.25,36,28,49.9,0,87,84,0.1,3
137,2003,75.2,12,0,4.14,,18,49.4,0,87,87,0.1,3
137,2002,75.4,11,0,3.84,,28,48.8,0,86,8,0.1,3.1
137,2001,74.9,113,0,3.85,,0,48.2,0,92,91,0.1,3.2
137,2000,74.6,116,0,3.64,,43,47.6,0,87,85,0.1,3.2
144,2015,65.7,256,2,,95,0,37.9,2,96,95,2.2,6.1
144,2014,65.1,268,2,0.01,95,1,37.3,2,96,95,2.3,6.4
144,2013,64.2,286,2,0.01,95,1,36.8,2,96,95,2.8,6.7
144,2012,63.4,3,2,0.01,95,7,36.2,3,96,95,4.4,7
144,2011,62.2,325,2,5.76,95,8,35.7,3,96,95,5.5,7.4
144,2010,61.1,349,2,5.99,95,853,35.2,3,96,95,6.2,7.8
144,2009,59.2,393,2,05.01,94,184,34.7,3,96,96,9,8.2
144,2008,57.5,427,2,6.56,94,0,34.2,3,96,96,12.7,8.6
144,2007,56.9,436,2,6.21,93,1,33.7,3,96,96,13.4,9
144,2006,54.8,491,2,6.45,93,6,33.2,3,96,96,14.4,9.4
144,2005,51.7,566,2,6.37,92,5,32.7,3,96,96,20.6,9.9
144,2004,48.1,652,2,4.9,91,1,32.2,4,96,96,28.4,1.4
144,2003,46.4,693,2,5.51,9,59,31.6,4,96,96,31.9,1.8
144,2002,46,699,2,6.41,88,7,31.1,4,97,97,34.6,11.3
144,2001,46.7,679,2,5.48,87,1,3.5,4,97,97,37.2,11.8
144,2000,47.8,647,2,5.37,86,2672,29.9,4,97,97,38.8,12.2
7,2015,75,142,42,,96,214,56.1,47,98,96,0.1,2.6
7,2014,74.8,144,44,7.32,96,876,55.3,49,96,93,0.1,2.7
7,2013,74.7,146,46,7.24,96,220,54.5,52,96,97,0.1,2.7
7,2012,74.5,148,49,7.55,96,2,53.6,54,96,95,0.1,2.8
7,2011,74.1,152,51,7.58,98,43,52.8,57,98,99,0.1,2.8
7,2010,73.8,154,54,7.52,96,68,52,61,99,99,0.1,2.9
7,2009,73.6,157,57,7.33,99,0,51.1,64,99,99,0.1,2.9
7,2008,73.4,158,61,7.21,96,0,5.3,68,99,99,0.1,3
7,2007,73.3,159,65,7.19,99,0,49.4,73,99,99,0.1,3
