Pays,Annee,Continents,Statuts,Pourcentage_de_depense,Depenses_totales,PIB,Population,Scolarite,Superficie,Densite_km2,Taux_croissance,Pourcentage_pop_mondiale
140,2008,1,Developing,2.8888979,3.8,11.66,3087100,12.3,29743,103.79,0.9962,0.03
140,2007,1,Developing,44.5721997,4.31,9.21,3107400,11.7,29743,104.48,0.9962,0.03
140,2006,1,Developing,244.535277,4.58,6.38,3127100,11.2,29743,105.14,0.9962,0.03
140,2005,1,Developing,20.2182283,5.25,4.90,3146400,10.9,29743,105.79,0.9962,0.03
140,2004,1,Developing,97.7408774,5.5,3.58,3164900,10.9,29743,106.41,0.9962,0.03
140,2003,1,Developing,7.34149315,5.56,2.81,3182500,10.8,29743,107.00,0.9962,0.03
140,2002,1,Developing,57.178104,5.4,2.38,3199800,10.8,29743,107.58,0.9962,0.03
140,2001,1,Developing,53.1937301,5.94,2.12,3211800,11.1,29743,107.99,0.9962,0.03
140,2000,1,Developing,32.7562685,6.25,1.91,3221100,11.2,29743,108.30,0.9962,0.03
55,2015,4,Developed,0,,1351.30,23815995,20.4,7692024,3.10,1.1999,0.33
55,2014,4,Developed,10769.3631,9.42,1468.27,23475686,20.4,7692024,3.05,1.1999,0.33
55,2013,4,Developed,11734.8538,9.36,1577.12,23128129,20.3,7692024,3.01,1.1999,0.33
55,2012,4,Developed,11714.9986,9.36,1547.53,22733465,20.1,7692024,2.96,1.1999,0.33
55,2011,4,Developed,10986.2653,9.2,1398.61,22340024,19.8,7692024,2.90,1.1999,0.33
55,2010,4,Developed,8875.78649,9.2,1148.84,22031750,19.5,7692024,2.86,1.1999,0.33
55,2009,4,Developed,7172.27523,9.5,928.76,21691653,19.1,7692024,2.82,1.1999,0.33
55,2008,4,Developed,8547.29236,8.78,1056.11,21249199,19.1,7692024,2.76,1.1999,0.33
55,2007,4,Developed,872.598609,8.53,855.01,20827622,19,7692024,2.71,1.1999,0.33
55,2006,4,Developed,6187.06202,8.49,748.42,20450966,20.3,7692024,2.66,1.1999,0.33
55,2005,4,Developed,579.133164,8.45,695.69,20176844,20.3,7692024,2.62,1.1999,0.33
55,2004,4,Developed,588.568371,8.57,614.66,19932722,20.7,7692024,2.59,1.1999,0.33
55,2003,4,Developed,3829.55093,8.32,467.74,19720737,20.6,7692024,2.56,1.1999,0.33
55,2002,4,Developed,46.3871819,8.39,395.79,19495210,20.1,7692024,2.53,1.1999,0.33
55,2001,4,Developed,3064.30114,8.18,379.63,19274701,20.5,7692024,2.51,1.1999,0.33
55,2000,4,Developed,347.18736,8.8,416.17,19028802,20.4,7692024,2.47,1.1999,0.33
99,2015,2,Developed,0,,379.55,8642699,15.9,83871,103.05,1.002,0.11
99,2014,2,Developed,8350.19352,11.21,438.56,8546356,15.9,83871,101.90,1.002,0.11
99,2013,2,Developed,90.5850118,11.14,426.58,8479823,15.7,83871,101.11,1.002,0.11
99,2012,2,Developed,7878.37236,11.17,406.75,8429991,15.7,83871,100.51,1.002,0.11
99,2011,2,Developed,8272.30676,1.94,428.95,8391643,15.7,83871,100.05,1.002,0.11
99,2010,2,Developed,7423.22877,11.17,389.83,8363404,15.4,83871,99.72,1.002,0.11
99,2009,2,Developed,8053.55764,11.19,399.29,8343323,15.3,83871,99.48,1.002,0.11
99,2008,2,Developed,8329.73166,1.6,429.23,8321496,15.1,83871,99.22,1.002,0.11
99,2007,2,Developed,7453.8644,1.4,386.76,8295487,15.2,83871,98.91,1.002,0.11
99,2006,2,Developed,69.9289936,1.35,333.91,8268641,15,83871,98.59,1.002,0.11
99,2005,2,Developed,5992.58803,1.53,313.95,8227829,14.9,83871,98.10,1.002,0.11
99,2004,2,Developed,5316.87746,1.56,299.21,8171966,14.7,83871,97.43,1.002,0.11
99,2003,2,Developed,504.430874,1.48,260.78,8121423,14.7,83871,96.83,1.002,0.11
99,2002,2,Developed,3979.05773,1.27,212.84,8081957,16.1,83871,96.36,1.002,0.11
99,2001,2,Developed,3582.84831,1.12,196.48,8042293,15.5,83871,95.89,1.002,0.11
99,2000,2,Developed,3557.45551,1.6,196.18,8011566,15.4,83871,95.52,1.002,0.11
91,2015,1,Developing,0,,53.08,9649341,12.7,86600,111.42,1.1944,0.13
91,2014,1,Developing,306.182431,6.4,75.24,9535079,12.2,86600,110.10,1.1944,0.13
91,2013,1,Developing,275.651493,5.54,74.16,9416801,11.9,86600,108.74,1.1944,0.13
91,2012,1,Developing,285.610391,5.37,69.68,9295784,11.8,86600,107.34,1.1944,0.13
91,2011,1,Developing,263.142699,5.1,65.95,9173082,11.7,86600,105.92,1.1944,0.13
91,2010,1,Developing,246.568601,5.33,52.91,9054332,11.7,86600,104.55,1.1944,0.13
91,2009,1,Developing,22.4863835,5.85,44.29,8947243,11.6,86600,103.32,1.1944,0.13
91,2008,1,Developing,206.261613,4.37,48.85,8763400,11.6,86600,101.19,1.1944,0.13
91,2007,1,Developing,176.010711,5.1,33.05,8581300,11.6,86600,99.09,1.1944,0.13
91,2006,1,Developing,105.633726,6.17,20.98,8484550,10.7,86600,97.97,1.1944,0.13
91,2005,1,Developing,81.2888309,7.86,13.25,8391850,11.2,86600,96.90,1.1944,0.13
91,2004,1,Developing,8.59680496,7.92,8.68,8306500,11,86600,95.92,1.1944,0.13
91,2003,1,Developing,42.4149118,6.56,7.28,8234100,10.8,86600,95.08,1.1944,0.13
91,2002,1,Developing,39.3325369,4.47,6.24,8171950,10.6,86600,94.36,1.1944,0.13
91,2001,1,Developing,4.10419008,4.48,5.71,8111200,10.4,86600,93.66,1.1944,0.13
91,2000,1,Developing,35.0946264,4.67,5.27,8048600,10.1,86600,92.94,1.1944,0.13
176,2015,6,Developing,0,,11.67,385346,12.6,13943,27.64,1.1951,0.01
176,2014,6,Developing,0,7.74,10.97,382298,12.6,13943,27.42,1.1951,0.01
176,2013,6,Developing,0,7.5,10.40,378953,12.6,13943,27.18,1.1951,0.01
176,2012,6,Developing,0,7.43,10.72,375469,12.6,13943,26.93,1.1951,0.01
176,2011,6,Developing,0,7.63,10.07,371729,12.6,13943,26.66,1.1951,0.01
176,2010,6,Developing,0,7.44,10.10,367478,12.6,13943,26.36,1.1951,0.01
176,2009,6,Developing,0,7.43,9.98,362810,12.6,13943,26.02,1.1951,0.01
176,2008,6,Developing,0,7.3,10.53,358120,12.6,13943,25.68,1.1951,0.01
176,2007,6,Developing,0,7.8,10.62,353334,12.5,13943,25.34,1.1951,0.01
176,2006,6,Developing,0,6.93,10.17,348375,12.4,13943,24.99,1.1951,0.01
176,2005,6,Developing,0,5.95,9.84,343894,12.4,13943,24.66,1.1951,0.01
176,2004,6,Developing,0,6.2,9.06,339782,12.3,13943,24.37,1.1951,0.01
176,2003,6,Developing,0,5.62,8.87,335618,12.2,13943,24.07,1.1951,0.01
176,2002,6,Developing,0,5.26,8.88,331614,12.1,13943,23.78,1.1951,0.01
176,2001,6,Developing,0,5.15,8.32,327836,12.1,13943,23.51,1.1951,0.01
176,2000,6,Developing,0,5.21,8.08,323835,12,13943,23.23,1.1951,0.01
154,2015,1,Developing,0,,32.52,1370322,14.5,765,1791.27,1.1961,0.02
154,2014,1,Developing,367.255674,4.98,34.77,1314562,14.5,765,1718.38,1.1961,0.02
154,2013,1,Developing,3.96869598,4.69,33.82,1253191,14.5,765,1638.16,1.1961,0.02
154,2012,1,Developing,2211.21578,4.37,31.96,1208964,14.5,765,1580.35,1.1961,0.02
154,2011,1,Developing,197.773468,3.4,29.91,1195020,14.4,765,1562.12,1.1961,0.02
154,2010,1,Developing,266.769612,3.64,26.81,1228543,14.4,765,1605.94,1.1961,0.02
154,2009,1,Developing,332.934765,3.79,22.94,1178415,14.4,765,1540.41,1.1961,0.02
154,2008,1,Developing,231.547891,3.17,25.71,1103496,14.4,765,1442.48,1.1961,0.02
154,2007,1,Developing,278.360281,3.8,21.73,1039295,14.4,765,1358.56,1.1961,0.02
154,2006,1,Developing,170.737403,3.8,18.50,960424,14.2,765,1255.46,1.1961,0.02
154,2005,1,Developing,1553.46894,3.16,15.97,888822,14,765,1161.86,1.1961,0.02
154,2004,1,Developing,1380.2281,3.37,13.15,823741,13.9,765,1076.79,1.1961,0.02
154,2003,1,Developing,1214.55817,3.74,11.07,764517,13.7,765,999.37,1.1961,0.02
154,2002,1,Developing,106.430334,3.89,9.59,710553,13.5,765,928.83,1.1961,0.02
154,2001,1,Developing,1150.41806,3.8,8.98,661316,13.3,765,864.47,1.1961,0.02
154,2000,1,Developing,167.727064,3.51,9.06,637582,13.2,765,833.44,1.1961,0.02
8,2015,1,Developing,0,,195.15,159383179,10.2,147570,1080.05,1.0108,2.15
8,2014,1,Developing,10.4464033,2.82,172.89,157964929,10,147570,1070.44,1.0108,2.15
8,2013,1,Developing,52.8298647,2.88,150.00,156532141,10,147570,1060.73,1.0108,2.15
8,2012,1,Developing,59.2589257,3.8,133.31,155070101,9.9,147570,1050.82,1.0108,2.15
8,2011,1,Developing,62.3498848,3.16,128.61,153591076,9.4,147570,1040.80,1.0108,2.15
8,2010,1,Developing,62.6594543,3.6,115.28,152201981,8.9,147570,1031.39,1.0108,2.15
8,2009,1,Developing,53.2640038,2.91,102.48,150873714,8.4,147570,1022.39,1.0108,2.15
8,2008,1,Developing,42.4886503,2.85,91.64,149474264,8.6,147570,1012.90,1.0108,2.15
8,2007,1,Developing,46.365367,2.8,79.61,147989278,8.6,147570,1002.84,1.0108,2.15
8,2006,1,Developing,42.3304549,2.8,71.80,146405973,8.4,147570,992.11,1.0108,2.15
8,2005,1,Developing,38.05462,2.68,69.48,144715786,8.2,147570,980.66,1.0108,2.15
8,2004,1,Developing,4.11469667,2.62,65.11,142902856,8.1,147570,968.37,1.0108,2.15
8,2003,1,Developing,35.4845896,2.51,60.16,140970351,7.9,147570,955.28,1.0108,2.15
8,2002,1,Developing,0.39722876,2.59,54.72,138933658,7.7,147570,941.48,1.0108,2.15
8,2001,1,Developing,3.39506978,2.47,53.99,136805810,7.5,147570,927.06,1.0108,2.15
8,2000,1,Developing,3.69633051,2.33,53.37,134544304,7.3,147570,911.73,1.0108,2.15
186,2015,6,Developing,0,,5.29,278990,15.3,430,648.81,1.2015,0
186,2014,6,Developing,294.905658,7.47,5.37,278348,15.3,430,647.32,1.2015,0
186,2013,6,Developing,263.037284,7.57,5.36,277665,15.3,430,645.73,1.2015,0
186,2012,6,Developing,260.004386,7.43,5.27,276938,15.3,430,644.04,1.2015,0
186,2011,6,Developing,173.982563,6.67,5.34,276139,15.5,430,642.18,1.2015,0
186,2010,6,Developing,154.963086,6.17,5.19,275243,15.8,430,640.10,1.2015,0
186,2009,6,Developing,327.161813,6.21,4.47,274123,15.5,430,637.50,1.2015,0
186,2008,6,Developing,25.5227711,6.1,4.79,272714,15.3,430,634.22,1.2015,0
186,2007,6,Developing,1641.30981,5.64,4.68,271288,15,430,630.90,1.2015,0
186,2006,6,Developing,181.500086,5.27,4.22,270002,14.8,430,627.91,1.2015,0
186,2005,6,Developing,1311.44042,5.38,3.82,268706,14.6,430,624.90,1.2015,0
186,2004,6,Developing,166.008344,5.71,3.44,267298,14.4,430,621.62,1.2015,0
186,2003,6,Developing,13.5139917,5.82,3.21,265776,14.2,430,618.08,1.2015,0
186,2002,6,Developing,133.099491,5.76,3.11,264148,14,430,614.30,1.2015,0
186,2001,6,Developing,138.166463,5.47,3.05,262425,14,430,610.29,1.2015,0
186,2000,6,Developing,1140.61575,5.16,3.06,262063,14,430,609.45,1.2015,0
96,2015,2,Developing,0,,56.45,9461076,15.6,207600,45.57,0.9955,0.12
96,2014,2,Developing,1147.1114,5.69,78.81,9448515,15.7,207600,45.51,0.9955,0.12
96,2013,2,Developing,1109.85462,6.7,75.53,9443211,15.7,207600,45.49,0.9955,0.12
96,2012,2,Developing,91.7096212,5.1,65.69,9446836,15.6,207600,45.50,0.9955,0.12
96,2011,2,Developing,846.911307,4.92,61.76,9461643,15.5,207600,45.58,0.9955,0.12
96,2010,2,Developing,8.49409518,5.55,57.23,9483836,15.5,207600,45.68,0.9955,0.12
96,2009,2,Developing,434.798503,6.9,50.87,9504583,15.4,207600,45.78,0.9955,0.12
96,2008,2,Developing,501.805614,5.95,60.75,9527985,15.1,207600,45.90,0.9955,0.12
96,2007,2,Developing,464.077513,6.44,45.28,9560953,14.9,207600,46.05,0.9955,0.12
96,2006,2,Developing,364.426052,6.34,36.96,9604924,14.6,207600,46.27,0.9955,0.12
96,2005,2,Developing,45.650078,6.89,30.21,9663915,14.4,207600,46.55,0.9955,0.12
96,2004,2,Developing,42.334439,6.59,23.14,9730146,14.1,207600,46.87,0.9955,0.12
96,2003,2,Developing,23.8357859,6.59,17.83,9796749,13.9,207600,47.19,0.9955,0.12
96,2002,2,Developing,145.423363,6.47,14.59,9865548,13.6,207600,47.52,0.9955,0.12
96,2001,2,Developing,14.061417,6.62,12.35,9928549,13.3,207600,47.83,0.9955,0.12
96,2000,2,Developing,24.2494785,6.13,12.74,9979610,13.1,207600,48.07,0.9955,0.12
81,2015,2,Developed,0,,461.04,11274196,16.6,30528,369.31,1.1938,0.15
81,2014,2,Developed,7163.34892,1.59,537.99,11209057,16.3,30528,367.17,1.1938,0.15
81,2013,2,Developed,702.359357,1.57,524.10,11159407,16.3,30528,365.55,1.1938,0.15
81,2012,2,Developed,664.473898,1.54,498.41,11106932,16.2,30528,363.83,1.1938,0.15
81,2011,2,Developed,713.529735,1.42,527.20,11038264,16.1,30528,361.58,1.1938,0.15
81,2010,2,Developed,665.735612,1.17,481.56,10895586,15.9,30528,356.90,1.1938,0.15
81,2009,2,Developed,671.937657,1.39,485.01,10796493,15.8,30528,353.66,1.1938,0.15
81,2008,2,Developed,7191.05151,9.6,517.33,10709973,15.8,30528,350.82,1.1938,0.15
81,2007,2,Developed,640.356092,9.25,470.92,10625700,15.8,30528,348.06,1.1938,0.15
81,2006,2,Developed,5579.19908,9.17,408.26,10547958,15.7,30528,345.52,1.1938,0.15
81,2005,2,Developed,5068.21449,9.24,385.71,10478617,15.7,30528,343.25,1.1938,0.15
81,2004,2,Developed,5160.50838,9.32,369.21,10421137,18.8,30528,341.36,1.1938,0.15
81,2003,2,Developed,507.306164,9.3,318.08,10376133,18.6,30528,339.89,1.1938,0.15
81,2002,2,Developed,320.317766,8.46,258.38,10332785,18.8,30528,338.47,1.1938,0.15
81,2001,2,Developed,2943.3754,8.29,236.75,10286570,18.2,30528,336.96,1.1938,0.15
81,2000,2,Developed,287.208453,8.12,236.79,10251250,18,30528,335.80,1.1938,0.15
177,2015,6,Developing,0,,2.19,356333,12.8,22966,15.52,1.0131,0.01
177,2014,6,Developing,670.092088,5.79,2.14,348923,12.8,22966,15.19,1.0131,0.01
177,2013,6,Developing,629.201859,5.79,2.03,341627,12.9,22966,14.88,1.0131,0.01
177,2012,6,Developing,582.802719,5.45,1.91,334414,12.5,22966,14.56,1.0131,0.01
177,2011,6,Developing,605.628689,5.61,1.83,327298,12.4,22966,14.25,1.0131,0.01
177,2010,6,Developing,569.952712,5.85,1.75,320245,12.4,22966,13.94,1.0131,0.01
177,2009,6,Developing,549.80961,5.81,1.69,312614,12.7,22966,13.61,1.0131,0.01
177,2008,6,Developing,51.2523242,5.9,1.74,304361,12.8,22966,13.25,1.0131,0.01
177,2007,6,Developing,69.6305105,4.76,1.71,296100,12.8,22966,12.89,1.0131,0.01
177,2006,6,Developing,387.332493,4.4,1.59,287878,12.3,22966,12.53,1.0131,0.01
177,2005,6,Developing,365.799896,4.45,1.47,279731,12.8,22966,12.18,1.0131,0.01
177,2004,6,Developing,325.680746,4.39,1.40,271688,12.5,22966,11.83,1.0131,0.01
177,2003,6,Developing,312.799595,4.53,1.31,263780,12.2,22966,11.49,1.0131,0.01
177,2002,6,Developing,262.829919,4.38,1.24,256009,11.9,22966,11.15,1.0131,0.01
177,2001,6,Developing,251.658693,4.5,1.17,248379,11.8,22966,10.82,1.0131,0.01
177,2000,6,Developing,219.023984,3.98,1.14,240799,11.7,22966,10.49,1.0131,0.01
77,2015,3,Developing,0,,11.39,11360681,10.7,112622,100.87,1.0274,0.17
77,2014,3,Developing,90.1220679,4.59,13.28,11030004,10.7,112622,97.94,1.0274,0.17
77,2013,3,Developing,87.4080423,4.59,12.52,10708834,10.3,112622,95.09,1.0274,0.17
77,2012,3,Developing,9.80407467,4.86,11.14,10397657,10,112622,92.32,1.0274,0.17
77,2011,3,Developing,110.263362,5.37,10.69,10093623,9.8,112622,89.62,1.0274,0.17
77,2010,3,Developing,94.2573792,4.95,9.54,9797484,9.5,112622,86.99,1.0274,0.17
77,2009,3,Developing,71.0139925,4.46,9.74,9509423,9.3,112622,84.44,1.0274,0.17
77,2008,3,Developing,7.61543013,4.2,9.79,9228466,9.1,112622,81.94,1.0274,0.17
77,2007,3,Developing,7.49281752,4.55,8.17,8953969,8.9,112622,79.50,1.0274,0.17
77,2006,3,Developing,75.914295,4.75,7.03,8693242,8.7,112622,77.19,1.0274,0.17
77,2005,3,Developing,7.10699736,4.73,6.57,8426144,8.5,112622,74.82,1.0274,0.17
77,2004,3,Developing,10.7362807,4.56,6.19,8159094,8.1,112622,72.45,1.0274,0.17
77,2003,3,Developing,8.9318273,4.63,5.35,7913070,7.7,112622,70.26,1.0274,0.17
77,2002,3,Developing,40.4881523,4.27,4.19,7675426,7.3,112622,68.15,1.0274,0.17
77,2001,3,Developing,45.3347638,4.69,3.67,7445596,6.6,112622,66.11,1.0274,0.17
77,2000,3,Developing,37.3818202,4.34,3.52,7221619,6.4,112622,64.12,1.0274,0.17
165,2015,1,Developing,0,,2.19,740618,12.5,38394,19.29,1.1964,0.01
165,2014,1,Developing,209.392134,3.57,2.09,733139,12.5,38394,19.10,1.1964,0.01
165,2013,1,Developing,19.7905744,3.83,1.94,725273,12.6,38394,18.89,1.1964,0.01
